"","uid_max","visitor_access_level","total_days","other.web.sites","search.engines","social.networks","typed_bookmarked","Purchase.IDs","product","last_touch_referrer"
"2298","468066","subscribed",2,1,1,0,1,"D6174544","Digital Only - Annual","search engines"
"2299","4682028598752860027_5264052294043297658","anonymous",1,0,0,0,1,"D6223965","Premium (Digital + Print)","typed/bookmarked"
"2300","4682042915638708439_9159704411991394859","anonymous",1,0,1,0,0,"D6072661","All Access","search engines"
"2301","468548510145062904_6243569876810455242","anonymous",1,0,1,0,0,"D6030361","All Access","search engines"
"2302","4689189884640578358_788830257378317552","anonymous",4,0,1,0,4,"D6076258","Digital Only - Annual","typed/bookmarked"
"2303","4691740842550759310_412457530288095214","anonymous",1,1,0,0,0,"D6246935","Digital Only - Annual","other web sites"
"2304","470344","subscribed",32,17,0,0,38,"D6046082","Digital Only - Annual","typed/bookmarked"
"2305","470934","anonymous",1,0,1,0,0,"D6042485","Digital Only - Monthly","search engines"
"2306","472038","subscribed",2,0,2,0,0,"D6046089","Premium (Digital + Print)","search engines"
"2307","472297957971355646_4850550144223730905","anonymous",1,0,1,0,0,"D6090246","Digital Only - Monthly","search engines"
"2308","473172","subscribed",10,1,0,0,13,"D5947814","Digital Only - Annual","typed/bookmarked"
"2309","473221","subscribed",19,8,6,0,15,"D6064546","Digital Only - Annual","typed/bookmarked"
"2310","4738896142238984586_2734362592772172338","anonymous",1,1,0,0,0,"D6271009","Digital Only - Monthly","other web sites"
"2311","474048","subscribed",14,0,2,0,13,"D6225746","Premium (Digital + Print)","typed/bookmarked"
"2312","474393439239699629_8999061764916118424","anonymous",1,0,0,0,1,"D6259058","Premium (Digital + Print)","typed/bookmarked"
"2313","4748694653892377142_1943999808216019856","anonymous",1,1,0,0,0,"D6296460","Digital Only - Monthly","other web sites"
"2314","4752138030451802142_514265488374710895","anonymous",3,0,2,1,0,"D6089444","Digital Only - Annual","social networks"
"2315","475682","subscribed",5,0,0,0,5,"D6066596","All Access","typed/bookmarked"
"2316","475877","subscribed",87,10,3,0,264,"D6296305","Premium (Digital + Print)","typed/bookmarked"
"2317","475907","reg",4,9,0,0,0,"D5936965","Digital Only - Annual","other web sites"
"2318","475950","subscribed",3,0,0,0,4,"D6294949","Digital Only - Annual","typed/bookmarked"
"2319","4759694032360360203_1337226144480178422","anonymous",1,0,1,0,0,"D6224366","Premium (Digital + Print)","search engines"
"2320","476666","subscribed",55,180,5,0,36,"D6269499","Digital Only - Annual","typed/bookmarked"
"2321","4773301123629063766_3145208386520212392","anonymous",1,0,0,0,1,"D6171211","Digital Only - Annual","typed/bookmarked"
"2322","477622","reg",1,0,0,0,1,"D6056925","Digital Only - Monthly","typed/bookmarked"
"2323","478953","subscribed",7,1,0,0,6,"D6154598","Digital Only - Monthly","other web sites"
"2324","4793045002864203016_1771487469778787867","anonymous",1,0,0,0,1,"D6154588","Premium (Digital + Print)","typed/bookmarked"
"2325","479493","reg",1,0,0,0,1,"D5917319","Digital Only - Annual","typed/bookmarked"
"2326","4796170519447221092_2308191615854196270","anonymous",1,0,0,0,1,"D6103534","Premium (Digital + Print)","typed/bookmarked"
"2327","479816","anonymous",1,0,0,0,1,"D6296160","Digital Only - Annual","typed/bookmarked"
"2328","480288719347562896_7077049405484875856","anonymous",3,0,1,0,2,"D6273738","Digital Only - Annual","typed/bookmarked"
"2329","4813204040259319029_1921114646386143151","anonymous",1,0,0,0,1,"D6161350","Premium (Digital + Print)","typed/bookmarked"
"2330","481453","reg",1,0,1,0,0,"D6215325","Digital Only - Annual","search engines"
